"Row.names"	"mzmed"	"mzmin"	"mzmax"	"rtmed"	"rtmin"	"rtmax"	"npeaks"	"X1"	"ms_level"	"B1_NIST1950_1_6540.mzML"	"B1_NIST1950_2_6540.mzML"	"B1_NIST1950_3_6540.mzML"
"FT3246"	506.831740889739	506.831716472189	506.831792687041	785.214	784.216979980469	786.212036132812	3	3	1	175808.309539972	153380.11399851	154854.522078102
"FT3247"	507.223146340382	507.121758038277	507.223375175884	63.5560535583496	59.889591217041	68.1608734130859	4	3	1	6498.31737261409	102014.119704105	85368.8303862158
"FT3248"	507.123891008361	507.12293980932	507.124842207402	55.5765224456687	55.0780448913574	56.07499999998	2	2	1	2766.59415231103	5500.69590862436	5001.90664215088
"FT3249"	507.368723566839	507.367990761926	507.439719160986	51.08800000002	49.09300000002	55.1852531433105	5	3	1	55258.582012251	9332.65349769017	49707.9090002035
"FT3250"	507.835328515648	507.835232117398	507.835891901249	785.214	783.218994140625	786.212036132812	3	3	1	10582.8364636231	9137.28059988004	9395.73872869402
"FT3251"	507.949250326094	507.949061797262	507.949438854926	97.4138565063477	96.9711151123047	97.8565979003906	2	2	1	3175.44397081988	736.655522934772	2511.43131014004
"FT3252"	508.055695880888	508.055695880888	508.055695880888	42.4388656616211	42.4388656616211	42.4388656616211	1	1	1	3568.69399681091	306.575135795442	577.614586012364
"FT3253"	508.226523848536	508.226407155497	508.226600234871	64.0551071166992	64.05499999998	68.1608734130859	3	3	1	33112.5664514649	25814.914070392	25788.4605471638
"FT3254"	508.122708896979	508.122708896979	508.122708896979	56.0760536193848	56.0760536193848	56.0760536193848	1	1	1	800.564330789299	2163.82615114911	2629.76698493958
"FT3255"	508.37086581043	508.370556173788	508.371175447072	48.5949875335693	48.096	49.0939750671387	2	2	1	13534.9468979718	13167.4948675665	17468.1922175655
"FT3256"	508.370988445087	508.370988445087	508.370988445087	54.2323226928711	54.2323226928711	54.2323226928711	1	1	1	18750.0723990484	7382.05154540297	8809.0402949771
"FT3257"	508.846882332995	508.846673731665	508.846956281112	786.21100000002	784.216979980469	786.212036132812	3	3	1	68810.6385517449	65994.0782792244	63823.9549997968
"FT3258"	509.216341387306	509.215303900327	509.217378874286	195.164749145508	194.711853027344	195.617645263672	2	2	1	4303.61231964111	267.462137886876	1969.56407347505
"FT3259"	509.33009194435	509.329404747082	509.330779141617	46.5994684448342	46.1009368896484	47.09800000002	2	2	1	NA	13558.2705317688	14379.0714797974
"FT3260"	509.270600746478	509.230580567276	509.274057602822	63.05810546875	61.0630950927734	67.2513961791992	3	2	1	10169.0815433347	4872.70438196962	5417.03385132085
"FT3261"	509.328880529385	509.328880529385	509.328880529385	52.3147850036621	52.3147850036621	52.3147850036621	1	1	1	18073.0267787203	NA	NA
"FT3262"	509.41991774244	509.38327484413	509.456718574879	51.0880006256204	48.0959663391113	55.1852531433105	6	3	1	72247.3317466828	56193.0211959811	60981.8756213379
