,mz,rt,rt_start,rt_end,B1_NIST1950_1_6540.mzML,B1_NIST1950_2_6540.mzML,B1_NIST1950_3_6540.mzML,classification
FT0310,122.046819536318,1.3252595906577185,1.300316666667,1.3753779093424483,220895.708367152,77129.4200951023,84871.3747423756,0.0
FT3938,803.562761599206,1.017716666667,1.0011014302571617,1.0751848856608066,14649.1633224813,13517.9811790937,12110.8531610947,1.0
FT2341,343.085163601806,1.5829355875651032,1.5829355875651032,1.5829355875651032,2822.00790143944,1828.08257284185,3922.12293325516,0.0
FT2652,390.164686060701,1.0011014302571617,0.984466666667,1.0751848856608066,8453.85647301695,9690.54793787849,9083.0453479886,1.0
FT0920,195.92817492653,8.11625,8.0663838704427,8.132864888509117,9297.66654121397,3421.78948216686,9852.58754706452,1.0
FT0549,154.057540150384,4.791416666667001,4.7912373860677,4.791416931152351,220035.814132237,194185.305871787,202894.587562715,1.0
FT2854,430.15760725445,4.791327158610033,4.7912373860677,4.791416931152351,1762.0583284623,1097.68187099866,2797.59165676116,1.0
FT2453,357.237883897832,1.0560509656268684,1.044518597920735,1.067583333333,463330.243026945,2744.70304226226,0.0,0.0
FT0704,172.067925804875,1.2837,1.2837,1.2837,4286.47525131941,5842.20670478759,2964.90124861787,0.0
FT0441,139.076316261097,1.0011014302571617,1.001083333333,1.0751848856608066,40075.5337224896,31591.0257077739,34744.7580648472,1.0
FT2419,352.157025487875,1.2005856831868482,1.2005856831868482,1.2005856831868482,573.459798775924,534.486252019997,2328.76148174286,0.0
FT2526,367.106093477765,6.063242340087883,6.054849751790367,6.071634928385417,1719133.49599829,1448143.50637895,1302848.62622829,1.0
FT3094,475.377308222781,0.8016,0.8015994389851884,0.8879364013671867,78599.5624484253,67436.9834474945,67338.2749101374,1.0
FT3261,509.328880529385,0.8719130833943683,0.8719130833943683,0.8719130833943683,18073.0267787203,0.0,0.0,0.0
FT1542,255.232963614868,4.0845225016276,4.05965576171875,4.109389241536467,240356.524788184,128026.277620998,106657.198230838,0.0
FT1443,248.973562074326,8.141190846761067,8.11624806722005,8.166133626302083,17671185.5361785,25222105.9619161,36348933.4271023,0.0
FT1676,265.047887489967,5.855367024739583,5.855367024739583,5.855367024739583,2100.833873291,1821.97244423032,969.87520493567,1.0
FT0112,88.0120735224732,1.9486673990885335,1.9486666666669998,1.96511052449545,56582.6907537584,54508.3449740668,45275.1487950891,1.0
FT0331,124.982654887466,13.086900000000002,13.070282999674482,13.103533935546867,135605.088128173,126158.035726112,125529.799214188,1.0
FT0137,91.0220683744291,1.36683578491211,1.3668166666669999,1.405167388916015,281056.60056615,255765.676389404,292855.730692199,1.0
FT2588,377.03122740035,1.3544722880047233,1.333566666667,1.3753779093424483,6375.1402750955,1909.35034194946,954.68954644761,1.0
